Biber	category	subcategory	pattern	regex
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	apt to	[^_ ]+_JJ[^_]?_apt\sto_TO_to\s?
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	certain to	[^_ ]+_JJ[^_]?_certain\sto_TO_to\s?
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	due to	[^_ ]+_JJ[^_]?_due\sto_TO_to\s?
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	guaranteed to	[^_ ]+_VVN_guarantee\sto_TO_to\s?
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	liable to	[^_ ]+_JJ[^_]?_liable\sto_TO_to\s?
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	likely to	[^_ ]+_JJ[^_]?_likely\sto_TO_to\s?
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	prone to	[^_ ]+_JJ[^_]?_prone\sto_TO_to\s?
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	unlikely to	[^_ ]+_JJ[^_]?_unlikely\sto_TO_to\s?
3.2b	stance adjective + to-clause	epistemic (certainty/likelihood) adjectives	sure to	[^_ ]+_JJ[^_]?_sure\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	afraid to	[^_ ]+_JJ[^_]?_afraid\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	ashamed to	[^_ ]+_JJ[^_]?_ashamed\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	disappointed to	[^_ ]+_JJ[^_]?_disappointed\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	embarrased to	[^_ ]+_JJ[^_]?_embarrassed\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	glad to	[^_ ]+_JJ[^_]?_glad\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	happy to	[^_ ]+_JJ[^_]?_happy\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	pleased to	[^_ ]+_JJ[^_]?_pleased\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	proud to	[^_ ]+_JJ[^_]?_proud\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	puzzled to	[^_ ]+_JJ[^_]?_puzzled\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	relieved to	[^_ ]+_VVN_relieve\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	sorry to	[^_ ]+_JJ[^_]?_sorry\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	surprised to	[^_ ]+_JJ[^_]?_surprised\sto_TO_to\s?
3.2b	stance adjective + to-clause	attitude/emotion adjectives + to	worried to	[^_ ]+_JJ[^_]?_worried\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	ppropriate to	[^_ ]+_JJ[^_]?_appropriate\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	inappropriate to	[^_ ]+_JJ[^_]?_inappropriate\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	bad to	[^_ ]+_JJ_bad\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	worse to	[^_ ]+_JJR_bad\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	good to	[^_ ]+_JJ_good\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	better to	[^_ ]+_JJR_good\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	best to	[^_ ]+_JJT_good\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	convenient to	[^_ ]+_JJ[^_]?_convenient\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	essential to	[^_ ]+_JJ[^_]?_essential\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	important to	[^_ ]+_JJ[^_]?_important\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	interesting to	[^_ ]+_JJ[^_]?_interesting\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	neceesary to	[^_ ]+_JJ[^_]?_necessary\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	nice to	[^_ ]+_JJ[^_]?_nice\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	reasonable to	[^_ ]+_JJ[^_]?_reasonable\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	silly to	[^_ ]+_JJ[^_]?_silly\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	smart to	[^_ ]+_JJ[^_]?_smart\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	stupid to	[^_ ]+_JJ[^_]?_stupid\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	surprising to	[^_ ]+_JJ[^_]?_surprising\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	useful to	[^_ ]+_JJ[^_]?_useful\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	useless to	[^_ ]+_JJ[^_]?_useless\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	unreasonable to	[^_ ]+_JJ[^_]?_unreasonable\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	wise to	[^_ ]+_JJ[^_]?_wise\sto_TO_to\s?
3.2b	stance adjective + to-clause	evaluation adjectives + to	wrong to	[^_ ]+_JJ[^_]?_wrong\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	able to	[^_ ]+_JK_able\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	unable to	[^_ ]+_JK_unable\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	anxious to	[^_ ]+_JJ_anxious\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	careful to	[^_ ]+_JJ[^_]?_careful\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	determined to	[^_ ]+_JJ[^_]?_determined\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	eager to	[^_ ]+_JJ[^_]?_eager\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	eligible to	[^_ ]+_JJ[^_]?_eligible\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	hesitant to	[^_ ]+_JJ[^_]?_hesitant\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	inclined to	[^_ ]+_JJ[^_]?_inclined\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	obliged to	[^_ ]+_VVN_oblige\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	prepared to	[^_ ]+_JJ[^_]?_prepared\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	ready to	[^_ ]+_JJ[^_]?_ready\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	reluctant to	[^_ ]+_JJ[^_]?_reluctant\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	willing to	[^_ ]+_JJ[^_]?_willing\sto_TO_to\s?
3.2b	stance adjective + to-clause	ability or willingness adjectives + to	unwilling to	[^_ ]+_JJ[^_]?_unwilling\sto_TO_to\s?
3.2b	stance adjective + to-clause	ease or difficulty adjectives + to	difficult to	[^_ ]+_JJ[^_]?_difficult\sto_TO_to\s?
3.2b	stance adjective + to-clause	ease or difficulty adjectives + to	easier to	[^_ ]+_JJR_easy\sto_TO_to\s?
3.2b	stance adjective + to-clause	ease or difficulty adjectives + to	easy to	[^_ ]+_JJ[^_]?_easy\sto_TO_to\s?
3.2b	stance adjective + to-clause	ease or difficulty adjectives + to	hard to	[^_ ]+_JJ[^_]?_hard\sto_TO_to\s?
3.2b	stance adjective + to-clause	ease or difficulty adjectives + to	possible to	[^_ ]+_JJ[^_]?_possible\sto_TO_to\s?
3.2b	stance adjective + to-clause	ease or difficulty adjectives + to	impossible to	[^_ ]+_JJ[^_]?_impossible\sto_TO_to\s?
3.2b	stance adjective + to-clause	ease or difficulty adjectives + to	tough to	[^_ ]+_JJ[^_]?_tough\sto_TO_to\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	assertion (that)	[^_ ]+_N[^_]{1,3}_assertion\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	conclusion (that)	[^_ ]+_N[^_]{1,3}_conclusion\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	conviction (that)	[^_ ]+_N[^_]{1,3}_conviction\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	discovery (that)	[^_ ]+_N[^_]{1,3}_discovery\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	doubt (that)	[^_ ]+_N[^_]{1,3}_doubt\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	fact (that)	[^_ ]+_N[^_]{1,3}_fact\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	knowledge (that)	[^_ ]+_N[^_]{1,3}_knowledge\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	observation (that)	[^_ ]+_N[^_]{1,3}_observation\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	principle (that)	[^_ ]+_N[^_]{1,3}_principle\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	realization (that)	[^_ ]+_N[^_]{1,3}_realization\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	result (that)	[^_ ]+_N[^_]{1,3}_result\s?
3.3a	stance noun + (that) clause	epistemic nouns - certainty (that)	statemment (that)	[^_ ]+_N[^_]{1,3}_statement\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	assumption (that)	[^_ ]+_N[^_]{1,3}_assumption\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	belief (that)	[^_ ]+_N[^_]{1,3}_belief\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	claim (that)	[^_ ]+_N[^_]{1,3}_claim\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	contention tht	[^_ ]+_N[^_]{1,3}_contention\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	feeling (that)	[^_ ]+_N[^_]{1,3}_feeling\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	hypothesis (that)	[^_ ]+_N[^_]{1,3}_hypothesis\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	idea (that)	[^_ ]+_N[^_]{1,3}_idea\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	implication (that)	[^_ ]+_N[^_]{1,3}_implication\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	impression (that)	[^_ ]+_N[^_]{1,3}_impression\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	notion (that)	[^_ ]+_N[^_]{1,3}_notion\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	opinion (that)	[^_ ]+_N[^_]{1,3}_opinion\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	possibility (that)	[^_ ]+_N[^_]{1,3}_possibility\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	presumption (that)	[^_ ]+_N[^_]{1,3}_presumption\s?
3.3a	stance noun + (that) clause	epistemic nouns - likelihood (that)	suggestion (that)	[^_ ]+_N[^_]{1,3}_suggestion\s?
3.3a	stance noun + (that) clause	attitude/perspective nouns (that)	grounds (that)	[^_ ]+_N[^_]{1,3}_ground\s?
3.3a	stance noun + (that) clause	attitude/perspective nouns (that)	hope (that)	[^_ ]+_N[^_]{1,3}_hope\s?
3.3a	stance noun + (that) clause	attitude/perspective nouns (that)	reason (that)	[^_ ]+_N[^_]{1,3}_reason\s?
3.3a	stance noun + (that) clause	attitude/perspective nouns (that)	view (that)	[^_ ]+_N[^_]{1,3}_view\s?
3.3a	stance noun + (that) clause	attitude/perspective nouns (that)	thought (that)	[^_ ]+_N[^_]{1,3}_thought\s?
3.3a	stance noun + (that) clause	communication (non-factual) nouns (that)	comment (that)	[^_ ]+_N[^_]{1,3}_comment\s?
3.3a	stance noun + (that) clause	communication (non-factual) nouns (that)	news (that)	[^_ ]+_N[^_]{1,3}_news\s?
3.3a	stance noun + (that) clause	communication (non-factual) nouns (that)	proposal (that)	[^_ ]+_N[^_]{1,3}_proposal\s?
3.3a	stance noun + (that) clause	communication (non-factual) nouns (that)	proposition (that)	[^_ ]+_N[^_]{1,3}_proposition\s?
3.3a	stance noun + (that) clause	communication (non-factual) nouns (that)	remark (that)	[^_ ]+_N[^_]{1,3}_remark\s?
3.3a	stance noun + (that) clause	communication (non-factual) nouns (that)	report (that)	[^_ ]+_N[^_]{1,3}_report\s?
3.3a	stance noun + (that) clause	communication (non-factual) nouns (that)	requirement (that)	[^_ ]+_N[^_]{1,3}_requirement\s?
3.3b	stance noun + to-clause	stance noun + to	agreement to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	decision to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	desire to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	failure to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	inclination to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	intention to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	obligation to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	opportunity to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	plan to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	promise to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	proposal to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	reluctance to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	responsibility to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	right to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	tendency to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	threat to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	wish to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
3.3b	stance noun + to-clause	stance noun + to	willingness to	[^_ ]+_V[^_]{1,3}_warn\sto_TO_to\s?
